legit,Ive got  lt
legit,U dont remember that old commercial
legit,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling
legit,Whenre you guys getting back G said you were thinking about not staying for mcr
spam,8007 FREE for 1st week No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates wwwgetzedcouk POBox 36504 W4 5WQ norm 150ptone 16
spam,Double mins and txts 4 6months FREE Bluetooth on Orange Available on Sony
legit,MY NO IN LUTON 0125698789 RING ME IF UR AROUND H
legit,Fuck babe  I miss you already
spam,Did you hear about the new Divorce Barbie It comes with all of Kens stuff
legit,Yes I started to send requests to make it but pain came back so Im back in bed Double coins at the factory too I gotta cash in all my nitros
spam,URGENT Last weekends draw shows that you have won 1000 cash or a Spanish holiday CALL NOW 09050000332 to claim TC RSTM
spam,Our brand new mobile music service is now live The free music player will arrive shortly Just install on your phone to browse content from the top artists
legit,Height of Confidence All the Aeronautics professors wer calld amp they wer askd 2 sit in an aeroplane Aftr they sat they wer told dat the plane ws made by their students Dey all hurried out of d plane Bt only 1 didnt move He saidif it is made by my students
spam,This is the 2nd time we have tried 2 contact u U have won the 750 Pound prize 2 claim is easy
spam,74355 XMAS iscoming  ur awarded either 500 CD gift vouchers  free entry 2 r 100 weekly draw txt MUSIC to 87066 TnC
legit,Well theres not a lot of things happening in Lindsay on New years sighs Some bars in Ptbo and the blue heron has something going
legit,U dun say so early hor U c already then say
spam,I dont know u and u dont know me Send CHAT to 86688 now and lets find each other Only 150pMsg rcvd HGSuite3422LandsRowW1J6HL LDN 18 years or over
spam,it to 80488 Your 500 free text messages are valid until 31 December 2005
legit,Nope i waiting in sch 4 daddy 
spam,123 Congratulations  in this weeks competition draw u have won the 1450 prize to claim just call 09050002311 b4280703 TCsstop SMS 08718727868 Over 18 only 150ppm
spam,3 You have received your mobile content Enjoy
legit,Any pain on urination any thing else
legit,Gimme a few was  lt
spam,This is the 2nd attempt to contract U
legit,great princess I love giving and receiving oral Doggy style is my fave position How about you I enjoy making love  lt
legit,Yup i thk cine is better cos no need 2 go down 2 plaza mah
legit,My life Means a lot to me
legit,Hi hope u get this txtjourney hasnt been gd
spam,YOU HAVE WON As a valued Vodafone customer our computer has picked YOU to win a 150 prize To collect is easy Just call 09061743386 
spam,Ur balance is now 500 Ur next question is Who sang Uptown Girl in the 80s  2 answer txt ur ANSWER to 83600 Good luck
legit,Nope Think i will go for it on monday Sorry i replied so late
spam,Ur cashbalance is currently 500 pounds  to maximize ur cashin now send CASH to 86688 only 150pmsg CC 08718720201 PO BOX 11414 TCRW1
