,class,message
0,legit,I will spoil you in bed as well 
1,legit,I am taking half day leave bec i am not well
2,legit,Our Prashanthettans mother passed away last night pray for her and family
3,spam,Hi Im sue I am 20 years old and work as a lapdancer I love sex Text me live  Im i my bedroom now text SUE to 89555 By TextOperator G2 1DA 150ppmsg 18
4,spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TSCs wwwsmsconet cost375max 
5,legit,Ummmmmaah Many many happy returns of d day my dear sweet heart HAPPY BIRTHDAY dear
6,legit,For my family happiness
7,legit,Also are you bringing galileo or dobby
8,spam,Uve Bin Awarded 50 to Play 4 Instant Cash Call 08715203028 To Claim EVERY 9th Player Wins Min 50500 OptOut 08718727870
9,legit,Sorry
10,legit,Thank u
11,spam,GENT We are trying to contact you Last weekends draw shows that you won a 1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs only 150ppm
12,spam,Dont b floppy b snappy  happy Only gay chat service with photo upload call 08718730666 10pmin 2 stop our texts call 08712460324
13,spam,You are now unsubscribed all services Get tons of sexy babes or hunks straight to your phone go to httpgotbabescouk No subscriptions
14,legit,Probably gonna be here for a while
15,legit,K
16,spam,Urgent Please call 09061743810 from landline Your ABTA complimentary 4 Tenerife Holiday or
17,legit,I sent you  lt
18,spam,449071512431 URGENT This is the 2nd attempt to contact UU have WON 1250 CALL 09071512433 b4 050703 TCsBCM4235WC1N3XX callcost 150ppm mobilesvary max7 50
19,spam,Will u meet ur dream partner soon Is ur career off 2 a flyng start 2 find out free
20,spam,XMAS iscoming  ur awarded either 500 CD gift vouchers  free entry 2 r 100 weekly draw txt MUSIC to 87066 TnC wwwLdewcom1win150ppmx3age16subscription 
21,legit,Id say thats a good sign but
22,spam,Filthy stories and GIRLS waiting for your
23,legit,Nice line said by a broken heart Plz dont cum 1 more times infront of me Other wise once again I ll trust U Good 9t
24,spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth 3350 only with The Scotsman this Saturday To stop go2 notxtcouk
25,legit,Kkwhen are you going
26,spam,BangBabes Ur order is on the way U SHOULD receive a Service Msg 2 download UR content If U do not
27,legit,Oh ok no prob
28,spam,Ur cashbalance is currently 500 pounds  to maximize ur cashin now send GO to 86688 only 150pmsg CC 08718720201 PO BOX 11414 TCRW1
29,spam,accordingly I repeat
30,legit,Hi Wk been ok  on hols now Yes on for a bit of a run Forgot that i have hairdressers appointment at four so need to get home n shower beforehand Does that cause prob for u
31,legit,Not really dude
32,legit,Sorry that took so long
33,legit,Go until jurong point
34,legit,The card ending 5572 has been successfully registered for Apple Pay
35,legit,Mind blastin No more Tsunamis will occur from now on Rajnikant stopped swimming in Indian OceanD
36,legit,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOONC
37,legit,Siva is in hostel aha
38,spam,Hello darling how are you today I would love to have a chat
39,legit,Ok give me 5 minutes I think I see her BTW youre my alibi You were cutting my hair the whole time
40,spam,WELL DONE Your 4 Costa Del Sol Holiday or 5000 await collection Call 09050090044 Now toClaim SAE
41,spam,Well done ENGLAND Get the official poly ringtone or colour flag on yer mobile text TONE or FLAG to 84199 NOW Optout txt ENG STOP Box39822 W111WX 150
42,spam,Congratulations YOUVE Won Youre a Winner in our August 1000 Prize Draw Call 09066660100 NOW Prize Code 2309
43,legit,Spoons it is then okay
44,spam,You are guaranteed the latest Nokia Phone
45,spam,goldviking 29M is inviting you to be his friend Reply YES762 or NO762 See him wwwSMSacugoldviking STOP Send STOP FRND to 62468
46,spam,Do you realize that in about 40 years
47,spam,Loans for any purpose even if you have Bad Credit Tenants Welcome Call NoWorriesLoanscom on 08717111821
48,legit, predict wat time ll finish buying
49,legit,I guess thats why you re worried You must know that theres a way the body repairs itself And im quite sure you shouldnt worry Well take it slow First the tests
50,legit,Ill text you when I drop x off
51,spam,URGENT We are trying to contact U Todays draw shows that you have won a 800 prize GUARANTEED Call 09050000460 from land line Claim J89 po box245c2150pm
52,spam,Congrats Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16 Close 300603 post BCM4284 Ldn WC1N3XX
53,legit,Sorry
54,legit,Your gonna have to pick up a 1 burger for yourself on your way home I cant even move Pain is killing me
55,legit,Nothing I meant that once the money enters your account here
56,legit,When did you get to the library
57,spam,URGENT Your Mobile No was awarded a 2
58,legit,Ffffffffff Alright no way I can meet up with you sooner
59,legit,Having lunchyou are not in onlinewhy
60,legit,its really getting me down just hanging around
61,spam,Auction round 4 The highest bid is now 54 Next maximum bid is 71 To bid
62,legit,Ok Every night take a warm bath drink a cup of milk and youll see a work of magic You still need to loose weight Just so that you know
63,spam,You have won 1
64,legit,Hello
65,spam,HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd
66,spam,YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now  08707509020 Just 20p per min NTT Ltd
67,legit,Where are the garage keys They arent on the bookshelf
68,legit,Sorry me going home first Daddy come fetch  later
69,legit,I accidentally deleted the message Resend please
70,legit,Shall i come to get pickle
71,legit,Just sent it So what type of food do you like
72,spam,Join the UKs horniest Dogging service and u can have sex 2nite Just sign up and follow the instructions Txt ENTRY to 69888 now NytEC2A3LPmsg150p
73,legit,Is xy going 4 e lunch
74,legit,Well done
75,legit,Finally the match heading towards draw as your prediction
76,legit,From here after The performance award is calculated every two monthnot for current one month period
77,legit,U dont know how stubborn I am I didnt even want to go to the hospital I kept telling Mark Im not a weak sucker Hospitals are for weak suckers
78,legit,Ok thats great thanx a lot
79,spam,Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles CRAZYIN
80,legit, say until like dat i dun buy ericsson oso cannot oredi lar
81,spam,Todays Voda numbers ending with 7634 are selected to receive a 350 reward If you have a match please call 08712300220 quoting claim code 7684 standard rates apply
82,spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
83,legit,Dear
84,spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
85,legit,U say leh Of course nothing happen lar Not say v romantic jus a bit only lor I thk e nite scenery not so nice leh
86,legit,Im still looking for a car to buy And have not gone 4the driving test yet
87,legit,Good afternoon starshine Hows my boytoy Does he crave me yet Ache to fuck me  sips cappuccino I miss you babe teasing kiss
88,legit,Coffee cake
89,spam,Text PASS to 69669 to collect your polyphonic ringtones Normal gprs charges apply only Enjoy your tones
90,legit,Its not the same here Still looking for a job How much do Tas earn there
91,legit,K Ill be there before 4
92,legit,Arngd marriage is while u r walkin unfortuntly a snake bites u bt love marriage is dancing in frnt of d snake amp sayin Bite me
93,spam,Final Chance Claim ur 150 worth of discount vouchers today Text YES to 85023 now SavaMob
94,spam,Boltblue tones for 150p Reply POLY
95,legit,Y dun cut too short leh U dun like ah She failed Shes quite sad
96,legit,Hi msg meim in office
97,legit,Goodmorning sleeping ga
98,legit,I hope you thats the result of being consistently intelligent and kind Start asking him about practicum links and keep your ears open and all the best ttyl
99,legit,Yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that Till 2 But we wont go there Not doing too badly cheers You 
100,spam,Your unique user ID is 1172 For removal send STOP to 87239 customer services 08708034412
101,spam,URGENT We are trying to contact you Last weekends draw shows u have won a 1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm
102,legit,Do you know what Mallika Sherawat did yesterday Find out now   ltURLgt
103,legit,I am waiting machan Call me once you free
104,spam,Please call Amanda with regard to renewing or upgrading your current TMobile handset free of charge Offer ends today Tel 0845 021 3680 subject to Ts and Cs
105,legit,Ok I asked for money how far
106,spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points To claim call 08719181259 Identifier code XXXXX Expires 260305
107,legit,Awesome
108,legit,Come to mu
109,legit,Wen u miss someone
110,spam,You have won a Nokia 7250i This is what you get when you win our FREE auction To take part send Nokia to 86021 now HGSuite3422Lands RowW1JHL 16
111,spam,Monthly password for wap mobsicom is 391784 Use your wap phone not PC
112,legit,Depends on quality If you want the type i sent boye
113,spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had To claim 4 free reply with CLAIM to this msg 2 stop txt STOP
114,spam,Had your contract mobile 11 Mnths Latest Motorola
115,legit,Why you Dint come with us
116,spam,Hi
117,spam,44 7732584351
118,legit,Ditto And you wont have to worry about me saying ANYTHING to you anymore Like i said last night
119,legit,Bring home some Wendy D
120,legit,Kkhow much does it cost
121,spam,Natalja 25F is inviting you to be her friend Reply YES440 or NO440 See her wwwSMSacunat27081980 STOP Send STOP FRND to 62468
122,spam,Congrats 2 mobile 3G Videophones R yours call 09063458130 now videochat wid your mates
123,spam,You can stop further club tones by replying STOP MIX See mytonecomenjoy html for terms Club tones cost GBP450week MFL
124,legit,But i have to I like to have love and arrange
125,spam,WIN We have a winner Mr T Foley won an iPod More exciting prizes soon
126,spam,Your next amazing xxx PICSFREE1 video will be sent to you enjoy If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video
127,legit,Wait thats still not all that clear
128,spam,URGENT This is our 2nd attempt to contact U Your 900 prize from YESTERDAY is still awaiting collection To claim CALL NOW 09061702893
129,spam,FREEMSG Our records indicate you may be entitled to 3750 pounds for the Accident you had To claim for free reply with YES to this msg To opt out text STOP
130,legit,Missed your call cause I was yelling at scrappy Miss u Cant wait for u to come home Im so lonely today
131,legit,Im nt goin
132,legit,New Theory Argument wins d SITUATION
133,legit,Kkadvance happy pongal
134,legit,That way transport is less problematic than on sat night By the way
135,legit, log off 4 wat Its sdryb8i
136,spam,Camera  You are awarded a SiPix Digital Camera call 09061221066 fromm landline Delivery within 28 days
137,legit,By monday next week Give me the full gist
138,legit,Where did u go My phone is gonna die you have to stay in here
139,spam,January Male Sale Hot Gay chat now cheaper
140,spam,Text82228 Get more ringtones
141,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts Call MobileUpd8 08001950382 or Call2OptOut674
142,legit,Ho ho  big belly laugh See ya tomo
143,spam,SMS ac Sptv The New Jersey Devils and the Detroit Red Wings play Ice Hockey Correct or Incorrect End Reply END SPTV
144,spam,ou are guaranteed the latest Nokia Phone
145,spam,Cashbincouk Get lots of cash this weekend wwwcashbincouk Dear Welcome to the weekend We have got our biggest and best EVER cash give away These
146,legit,That means get the door
147,legit,Your ASOS parcel has been delivered Find your delivery info here httpsmyhermesRFoIh1
148,legit,HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND HOWDY GORGEOUS
149,legit,Ill be late
150,legit,How long does applebees fucking take
151,spam,Thanks for your Ringtone Order
152,spam,Double mins and txts 4 6months FREE Bluetooth on Orange Available on Sony
153,spam,Guess who am IThis is the first time I created a web page WWWASJESUSCOM read all I wrote Im waiting for your opinions I want to be your friend 11
154,legit,Both  i shoot big loads so get ready
155,legit,She was supposed to be but couldnt make it
156,legit,Okay name ur price as long as its legal Wen can I pick them up Y u ave x ams xx
157,spam,Congratulations Thanks to a good friend U have WON the 2
158,spam,Urgent UR awarded a complimentary trip to EuroDisinc Trav
159,legit,Ugh its been a long day Im exhausted Just want to cuddle up and take a nap
160,legit,Ya very nice  be ready on thursday
161,legit,Even u dont get in trouble while convincingjust tel him once or twice and just tel neglect his msgs dont c and read itjust dont reply
162,spam,Tone Club Your subs has now expired 2 resub reply MONOC 4 monos or POLYC 4 polys 1 weekly  150p per week Txt STOP 2 stop This msg free Stream 0871212025016
163,spam,Congratulations ur awarded either 500 of CD gift vouchers  Free entry 2 our 100 weekly draw txt MUSIC to 87066 TnCs wwwLdewcom 1 win150ppmx3age16
164,spam,FREE MSGWe billed your mobile number by mistake from shortcode 83332Please call 08081263000 to have charges refundedThis call will be free from a BT landline
165,spam,Congratulations  Thanks to a good friend U have WON the 2
166,spam,Refused a loan Secured or Unsecured Cant get credit Call free now 0800 195 6669 or text back help  we will
167,legit,Ok anyway no need to change with what you said
168,spam,Get a brand new mobile phone by being an agent of The Mob Plus loads more goodies For more info just text MAT to 87021
169,spam,CDs 4u Congratulations ur awarded 500 of CD gift vouchers or 125 gift guaranteed  Freeentry 2 100 wkly draw xt MUSIC to 87066 TnCs wwwldewcom1win150ppmx3age16 
170,legit,Hey you told your name to gautham ah
171,spam,Orange customer
